path,bytes,classification,recommended_action,rationale
MHLM_MHSR/case_studies/anti_hallucination_epi_app/governance/GOVERNANCE_MODEL.md,2035,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/lineage/LINEAGE_POLICY.md,1243,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/prompts/PROMPT_ARCHIVE_POLICY.md,1176,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/provenance/PROVENANCE_MODEL_PREP.md,1637,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/claude/MANIFEST.md,552,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/codex/MANIFEST.md,692,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/deepseek/MANIFEST.md,369,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/gemini/MANIFEST.md,379,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/kimi/MANIFEST.md,217,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/unknown/MANIFEST.md,937,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/anti_hallucination_epi_app/unclassified/UNCLASSIFIED_MANIFEST.md,903,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/case_studies/lsc_neutrino/README.md,775,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/methodology/contradiction_policy.md,814,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/methodology/evidence_policy.md,1156,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/methodology/inclusion_rules.md,1371,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/methodology/lineage_policy.md,998,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/schemas/artifact.schema.json,389,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/schemas/case_study_manifest.schema.json,279,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/schemas/lineage_event.schema.json,410,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/schemas/provenance_record.schema.json,440,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/schemas/report.schema.json,373,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/taxonomy/case_studies.yml,518,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/taxonomy/legacy_aliases.yml,569,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
MHLM_MHSR/framework/taxonomy/model_aliases.yml,711,RESEARCH_CONTEXT,KEEP,Historical research/stress-test context; non-authoritative
PROVENANCE_FOUNDATION.md,2349,CORE_REFERENCE,KEEP,Core project/reference material
README.md,13624,ROOT_PROJECT_METADATA,KEEP,Primary project metadata
ROADMAP.md,677,CORE_REFERENCE,KEEP,Core project/reference material
archive/forensic_exports/README.md,666,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/README_AUDIT.md,2368,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/architecture_and_runtime.html,656547,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/architecture_and_runtime.md,145559,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/architecture_and_runtime.pdf,305586,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/architecture_summary.md,4797,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/docs_and_governance.md,250739,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/knowledge_layer.md,653634,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/memory_architecture.md,43427,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/provenance_system.md,76483,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/retrieval_system.md,50416,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/runtime_core.md,139258,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/tests_and_validation.md,58255,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/chunked_markdown/tooling_and_execution.md,95587,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/export_metadata.json,691,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/file_manifest.csv,36156,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/forensic_full_snapshot.html,26665,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/forensic_full_snapshot.md,18785,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/forensic_full_snapshot.pdf,115341,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/memory_and_provenance.html,590246,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/memory_and_provenance.md,120023,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/memory_and_provenance.pdf,264150,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/module_summaries.md,1385,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/pdf_inputs/architecture_and_runtime.md,145542,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/pdf_inputs/forensic_full_snapshot.md,18785,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/pdf_inputs/memory_and_provenance.md,119913,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/pdf_inputs/retrieval_and_knowledge_layer.md,700558,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/repository_tree.txt,9938,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/retrieval_and_knowledge_layer.html,4035562,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/retrieval_and_knowledge_layer.md,704171,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/retrieval_and_knowledge_layer.pdf,718748,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AOIA_CANONICAL_STRUCTURE_PLAN.md,2753,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AOIA_CONTAMINATION_REPORT.md,3806,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AOIA_DEPENDENCY_GRAPH.md,2573,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AOIA_MEMORY_ONTOLOGY.md,4544,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AOIA_RUNTIME_BOUNDARY_RECOMMENDATION.md,2523,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AOIA_RUNTIME_MAP.md,4497,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AOIA_TRANSITIONAL_COMPONENTS.md,2908,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/AUTHORITY_SCOPE.md,612,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/CONTRADICTION_SEMANTICS.md,2336,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/CURRENT_MEMORY_FLOW.md,4023,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/FILESYSTEM_ONTOLOGY_LAYOUT.md,3434,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MEMORY_BOUNDARY_ANALYSIS.md,3024,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MEMORY_LAYER_DECOMPOSITION.md,3625,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/README.md,740,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/DEPENDENCY_BOUNDARY_ANALYSIS.md,2230,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/MEMORY_DOMAIN_SPLIT_PLAN.md,1870,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/contracts/RUNTIME_SAFETY_CONTRACTS.md,2030,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/architecture/enforcement/ENFORCEMENT_LAYER_DESIGN.md,2524,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/archive/AOIA_MASTER_LIBRARY/MASTER_INDEX.md,4228,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/contradictions/CONTRADICTION_TAXONOMY.md,1889,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/governance/GOVERNANCE_MODEL.md,2035,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/lineage/LINEAGE_POLICY.md,1243,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/prompts/PROMPT_ARCHIVE_POLICY.md,1176,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/provenance/PROVENANCE_MODEL_PREP.md,1637,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/claude/MANIFEST.md,552,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/codex/MANIFEST.md,692,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/deepseek/MANIFEST.md,369,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/gemini/MANIFEST.md,379,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/kimi/MANIFEST.md,217,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/reports/raw_provider/unknown/MANIFEST.md,937,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/anti_hallucination_epi_app/unclassified/UNCLASSIFIED_MANIFEST.md,903,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/case_studies/lsc_neutrino/README.md,775,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/methodology/contradiction_policy.md,814,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/methodology/evidence_policy.md,1156,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/methodology/inclusion_rules.md,1371,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/methodology/lineage_policy.md,998,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/schemas/artifact.schema.json,389,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/schemas/case_study_manifest.schema.json,279,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/schemas/lineage_event.schema.json,410,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/schemas/provenance_record.schema.json,440,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/schemas/report.schema.json,373,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/taxonomy/case_studies.yml,518,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/taxonomy/legacy_aliases.yml,569,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MHLM_MHSR/framework/taxonomy/model_aliases.yml,711,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/MUTABLE_STATE_ISOLATION_PLAN.md,3164,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/ORCHESTRATION_REMNANT_AUDIT.md,2825,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/PROVENANCE_FOUNDATION.md,2349,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/README.md,8453,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/ROADMAP.md,677,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
archive/forensic_exports/reports_forensic_export/source_export/ROUTING_AUTHORITY_ANALYSIS.md,3339,HISTORICAL_FORENSIC_EXPORT,KEEP_NOW_ARCHIVE_AFTER_REVIEWS,Large historical duplicate/export; preserve through NLnet/NVIDIA review
